Lastname,Firstname,Authorname,JoinedAsBuilder,Affiliation,ORCID,FirstTier
Adame,Adrián Gutiérrez,A.~G.~Adame,False,"Instituto de F\'{\i}sica Te\'{o}rica (IFT) UAM/CSIC, Universidad Aut\'{o}noma de Madrid, Cantoblanco, E-28049, Madrid, Spain",,
Aguilar,Jessica Nicole,J.~Aguilar,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",,
Ahlen,Steven,S.~Ahlen,True,"Physics Dept., Boston University, 590 Commonwealth Avenue, Boston, MA 02215, USA",0000-0001-6098-7247,2
Alam,Shadab,S.~Alam,False,"Tata Institute of Fundamental Research, Homi Bhabha Road, Mumbai 400005, India",0000-0002-3757-6359,
Alexander,David,D.~M.~Alexander,False,"Centre for Extragalactic Astronomy, Department of Physics, Durham University, South Road, Durham, DH1 3LE, UK",0000-0002-5896-6313,3
Alexander,David,D.~M.~Alexander,False,"Institute for Computational Cosmology, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK",0000-0002-5896-6313,3
Alvarez,Marcelo,M.~Alvarez,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",,
Alves,Otávio,O.~Alves,False,"University of Michigan, Ann Arbor, MI 48109, USA",,
Anand,Abhijeet,A.~Anand,False,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-2923-1585,
Andrade,Uendert,U.~Dos Santos Andrade,False,"University of Michigan, Ann Arbor, MI 48109, USA",,
Armengaud,Eric,E.~Armengaud,False,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",0000-0001-7600-5148,
Avila,Santiago,S.~Avila,False,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",0000-0001-5043-3662,
Aviles,Alejandro,A.~Aviles,False,"Instituto de Ciencias F\'{\i}sicas, Universidad Aut\'onoma de M\'exico, Cuernavaca, Morelos, 62210, M\'exico",0000-0001-5998-3986,
Awan,Humna,H.~Awan,False,"University of Michigan, Ann Arbor, MI 48109, USA",,
Bahr-Kalus,Benedict,B.~Bahr-Kalus,False,"Universit\’e Claude Bernard Lyon 1, CNRS/IN2P3, IP2I, Lyon, France",0000-0002-4578-4019,
Bailey,Stephen,S.~Bailey,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-4162-6619,1
Bault,Abigail,A.~Bault,True,"Department of Physics and Astronomy, University of California, Irvine, 92697, USA",0000-0002-9964-1005,
Bautista,Julian,J.~Bautista,False,"Aix Marseille Univ, CNRS/IN2P3, CPPM, Marseille, France",,
Behera,Jayashree,J.~Behera,False,"Department of Physics, Kansas State University, 116 Cardwell Hall, Manhattan, KS 66506, USA",,4
BenZvi,Segev,S.~BenZvi,True,"Department of Physics \& Astronomy, University of Rochester, 206 Bausch and Lomb Hall, P.O. Box 270171, Rochester, NY 14627-0171, USA",0000-0001-5537-4710,
Beutler,Florian,F.~Beutler,False,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",0000-0003-0467-5438,
Bianchi,Davide,D.~Bianchi,False,"Dipartimento di Fisica ``Aldo Pontremoli'', Universit\`a degli Studi di Milano, Via Celoria 16, I-20133 Milano, Italy",0000-0001-9712-0006,
